coverage,i1,i2,i3,i4,i5,i6,i7,length,like,motif,neg_cov,obj_quality,pos_cov
8,0,0,1,1,0,0,1,3,1,"['i3', 'i4', 'i7']",0,3343.1489361702124,8
15,0,0,0,1,0,0,1,2,-1,"['i4', 'i7']",0,2735.162790697674,15
13,0,0,0,1,1,0,0,2,1,"['i4', 'i5']",6,2812.3453237410067,7
3,0,1,1,0,1,0,1,4,1,"['i2', 'i3', 'i5', 'i7']",0,4575.999999999999,3
5,1,1,0,0,0,0,1,3,1,"['i1', 'i2', 'i7']",0,3916.2352941176478,5
15,0,1,0,1,0,0,0,2,0,"['i2', 'i4']",8,2595.826086956522,7
7,0,0,1,1,0,1,0,3,1,"['i3', 'i4', 'i6']",2,3549.333333333333,5
50,0,0,0,0,0,0,0,0,0,[],22,1414.351931330472,28
7,1,0,1,0,0,1,0,3,-1,"['i1', 'i3', 'i6']",3,3662.243902439024,4
6,1,0,0,1,0,1,0,3,-1,"['i1', 'i4', 'i6']",2,3616.0,4
18,0,0,0,0,1,0,0,1,1,['i5'],6,2439.471698113207,12
6,1,0,0,0,1,1,0,3,1,"['i1', 'i5', 'i6']",2,3616.0,4
21,1,0,0,0,0,0,0,1,0,['i1'],10,2335.2093023255816,11
7,1,1,0,0,0,1,0,3,1,"['i1', 'i2', 'i6']",3,3502.545454545454,4
5,1,1,0,0,1,1,0,4,1,"['i1', 'i2', 'i5', 'i6']",2,3840.0000000000005,3
9,0,1,0,0,0,1,1,3,-1,"['i2', 'i6', 'i7']",0,3275.0638297872338,9
28,0,0,0,0,0,0,1,1,-1,['i7'],0,2027.6119402985075,28
11,1,0,0,0,0,1,0,2,-1,"['i1', 'i6']",4,2978.847457627119,7
6,0,1,0,0,1,1,1,4,1,"['i2', 'i5', 'i6', 'i7']",0,3663.999999999999,6
12,1,1,0,0,0,0,0,2,0,"['i1', 'i2']",7,2880.324324324325,5
26,0,0,1,0,0,0,0,1,1,['i3'],13,2152.5396825396824,13
3,1,1,0,0,1,1,1,5,1,"['i1', 'i2', 'i5', 'i6', 'i7']",0,4575.999999999999,3
26,0,1,0,0,0,0,0,1,0,['i2'],13,2032.6627565982405,13
12,0,0,0,1,0,1,0,2,-1,"['i4', 'i6']",4,2884.8955223880594,8
7,0,1,0,1,1,1,0,4,1,"['i2', 'i4', 'i5', 'i6']",3,3472.0,4
7,0,0,0,1,1,0,1,3,-1,"['i4', 'i5', 'i7']",0,3472.0,7
25,0,0,0,0,0,1,0,1,0,['i6'],8,2128.647564469914,17
4,1,0,0,0,1,1,1,4,1,"['i1', 'i5', 'i6', 'i7']",0,4156.444444444446,4
17,0,0,0,0,0,1,1,2,1,"['i6', 'i7']",0,2560.740740740741,17
12,1,0,0,1,0,0,0,2,-1,"['i1', 'i4']",5,2871.741935483871,7
3,1,1,0,0,1,0,1,4,-1,"['i1', 'i2', 'i5', 'i7']",0,4575.999999999999,3
7,1,0,0,0,0,1,1,3,-1,"['i1', 'i6', 'i7']",0,3502.545454545454,7
4,0,0,1,1,1,0,1,4,1,"['i3', 'i4', 'i5', 'i7']",0,4156.444444444446,4
14,0,1,0,0,0,1,0,2,0,"['i2', 'i6']",5,2686.153846153846,9
6,1,1,0,0,1,0,0,3,1,"['i1', 'i2', 'i5']",3,3575.272727272727,3
7,1,0,0,1,0,0,1,3,-1,"['i1', 'i4', 'i7']",0,3572.279069767443,7
6,0,1,1,0,0,0,1,3,-1,"['i2', 'i3', 'i7']",0,3800.0,6
13,0,0,1,0,0,0,1,2,0,"['i3', 'i7']",0,2840.0000000000005,13
2,1,1,1,0,1,1,0,5,1,"['i1', 'i2', 'i3', 'i5', 'i6']",1,5141.333333333335,1
13,0,1,0,0,0,0,1,2,-1,"['i2', 'i7']",0,2793.122807017544,13
4,1,0,1,1,0,1,0,4,-1,"['i1', 'i3', 'i4', 'i6']",1,4156.444444444446,3
6,0,0,1,1,1,0,0,3,1,"['i3', 'i4', 'i5']",2,3616.0,4
7,1,0,0,1,1,0,0,3,1,"['i1', 'i4', 'i5']",3,3472.0,4
8,0,0,1,0,1,0,0,2,0,"['i3', 'i5']",2,3395.9215686274515,6
9,0,0,0,0,1,1,1,3,1,"['i5', 'i6', 'i7']",0,3266.566037735849,9
8,0,0,0,1,0,1,1,3,-1,"['i4', 'i6', 'i7']",0,3395.921568627452,8
7,0,1,0,1,0,0,1,3,-1,"['i2', 'i4', 'i7']",0,3488.8888888888882,7
12,1,0,1,0,0,0,0,2,1,"['i1', 'i3']",7,2949.5849056603774,5
7,1,1,0,1,0,0,0,3,-1,"['i1', 'i2', 'i4']",4,3423.3043478260865,3
5,1,1,0,1,1,0,0,4,1,"['i1', 'i2', 'i4', 'i5']",3,3840.0000000000005,2
