area,coverage,i1,i2,i3,i4,i5,i6,i7,length,like,motif,neg_cov,pos_cov
26,13,0,0,1,0,0,0,1,2,-1,"['i3', 'i7']",0,13
15,3,1,1,0,0,1,1,1,5,-1,"['i1', 'i2', 'i5', 'i6', 'i7']",0,3
25,25,0,0,0,0,0,1,0,1,1,['i6'],8,17
24,6,0,1,0,0,1,1,1,4,-1,"['i2', 'i5', 'i6', 'i7']",0,6
21,7,0,0,1,1,0,1,0,3,1,"['i3', 'i4', 'i6']",2,5
0,50,0,0,0,0,0,0,0,0,-1,[],22,28
26,26,0,0,1,0,0,0,0,1,0,['i3'],13,13
25,25,0,0,0,0,0,1,0,1,1,['i6'],8,17
28,14,0,1,1,0,0,0,0,2,-1,"['i2', 'i3']",8,6
10,2,1,1,1,1,0,1,0,5,0,"['i1', 'i2', 'i3', 'i4', 'i6']",1,1
